Date,bag1_int,bag1_sl,bag2_int,bag2_sl,bag3_int,bag3_sl,bag1_3hr,bag2_3hr,bag3_3hr,weekday,week_num,b1_b2_3hr,b3_b2_3hr,bag1_t0,bag2_t0,bag3_t0,month,PM2.5,NOx,NO2,O3_amb,O3_amb_PM,temp
5/28/2020,38.1443997,0.288337957,39.35263588,0.20656386,40.71339821,0.220741723,90.04523192,76.53413061,80.44690828,0,7,13.51110131,3.912777671,34.80441834,35.56900447,36.00088926,5,4,0.003766667,0.003133333,41.4,43.5,37.7
5/29/2020,29.26162938,0.19460824,28.50157143,0.202957058,29.52303356,0.217527293,64.2911126,65.0338418,68.67794631,0,7,-0.7427292,3.644104506,25.02493848,25.14646532,25.23082215,5,7,0.003566667,0.002766667,31.05,34.6,27.34444444
5/30/2020,29.11823426,0.141749047,28.51488015,0.142675589,25.12860882,0.189728555,54.63306264,54.1964861,59.2797488,1,7,0.436576542,5.083262704,26.31614653,26.27503356,28.04441275,5,5,0.002033333,0.001666667,30.4,35.6,25.75555556
5/31/2020,30.01993928,0.184709833,28.71850506,0.178360823,30.29747172,0.194848849,63.26770917,60.82345329,65.37026462,1,7,2.444255886,4.546811335,25.85529083,25.79740492,27.1060906,5,6,0.002333333,0.001866667,32.65,34.3,25.21666667
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
