site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
3011,2020-02-05,19,54.10,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-05,20,52.76,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-05,21,51.00,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-05,22,49.11,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-05,23,47.46,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,0,46.12,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,1,45.31,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,2,44.27,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,3,43.43,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,4,42.79,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,5,42.16,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,6,41.58,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,7,42.20,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,8,46.45,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,9,49.44,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,10,52.94,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,11,56.85,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,12,58.86,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,13,61.06,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,14,62.85,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,15,63.33,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,16,63.42,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,17,60.54,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,18,57.83,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,19,56.15,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,20,53.85,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,21,51.44,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,22,50.31,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-06,23,48.86,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-07,0,47.62,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-07,1,45.73,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-07,2,44.89,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-07,3,44.53,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-07,4,43.55,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-07,5,41.94,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
